ue,numF,sps,voisin,herbi,ttt,combttt,LDMC,SLA 
37,T1F3,Egeria,Mspi,H,ESP,MHS,296.30,43.75
51,T3F1,Egeria,Mspi,H,ESP,MHS,NA,NA
51,T3F2,Egeria,Mspi,H,ESP,MHS,NA,NA
51,T3F3,Egeria,Mspi,H,ESP,MHS,NA,NA
51,T1F2,Egeria,Mspi,H,ESP,MHS,15.63,830.00
51,T2F1,Egeria,Mspi,H,ESP,MHS,27.78,790.00
51,T2F3,Egeria,Mspi,H,ESP,MHS,22.73,680.00
51,T1F1,Egeria,Mspi,H,ESP,MHS,44.78,253.33
51,T1F3,Egeria,Mspi,H,ESP,MHS,113.21,126.67
51,T2F2,Egeria,Mspi,H,ESP,MHS,166.67,83.33
57,T2F3,Egeria,Mspi,H,ESP,MHS,19.61,370.00
57,T2F2,Egeria,Mspi,H,ESP,MHS,76.92,86.67
57,T1F2,Egeria,Mspi,H,ESP,MHS,126.76,58.89
57,T3F1,Egeria,Mspi,H,ESP,MHS,112.24,57.27
57,T3F3,Egeria,Mspi,H,ESP,MHS,150.00,56.67
57,T1F3,Egeria,Mspi,H,ESP,MHS,132.08,44.29
57,T1F1,Egeria,Mspi,H,ESP,MHS,136.36,43.33
57,T3F2,Egeria,Mspi,H,ESP,MHS,194.44,37.14
57,T2F1,Egeria,Mspi,H,ESP,MHS,163.93,33.00
68,T2F2,Egeria,Mspi,H,ESP,MHS,18.18,770.00
68,T2F3,Egeria,Mspi,H,ESP,MHS,19.61,750.00
68,T3F3,Egeria,Mspi,H,ESP,MHS,40.00,335.00
68,T3F1,Egeria,Mspi,H,ESP,MHS,67.80,167.50
68,T3F2,Egeria,Mspi,H,ESP,MHS,79.37,128.00
68,T1F1,Egeria,Mspi,H,ESP,MHS,89.55,111.67
68,T1F3,Egeria,Mspi,H,ESP,MHS,185.19,62.00
68,T2F1,Egeria,Mspi,H,ESP,MHS,268.29,60.00
68,T1F2,Egeria,Mspi,H,ESP,MHS,370.37,22.00
