ue,numF,sps,voisin,herbi,ttt,combttt,LDMC,SLA 
13,T1F2,Mspi,Jussie,H,ESP,JHS,NA,NA
13,T1F3,Mspi,Jussie,H,ESP,JHS,NA,NA
13,T3F1,Mspi,Jussie,H,ESP,JHS,NA,NA
13,T3F2,Mspi,Jussie,H,ESP,JHS,NA,NA
13,T2F2,Mspi,Jussie,H,ESP,JHS,350.00,NA
13,T3F3,Mspi,Jussie,H,ESP,JHS,320.00,NA
13,T2F3,Mspi,Jussie,H,ESP,JHS,191.92,NA
13,T2F1,Mspi,Jussie,H,ESP,JHS,170.21,NA
20,T2F3,Mspi,Jussie,H,ESP,JHS,342.11,NA
20,T3F3,Mspi,Jussie,H,ESP,JHS,294.12,NA
20,T3F1,Mspi,Jussie,H,ESP,JHS,241.38,NA
20,T2F1,Mspi,Jussie,H,ESP,JHS,230.77,NA
20,T1F2,Mspi,Jussie,H,ESP,JHS,227.27,NA
20,T2F2,Mspi,Jussie,H,ESP,JHS,202.70,NA
20,T1F3,Mspi,Jussie,H,ESP,JHS,176.47,NA
20,T3F2,Mspi,Jussie,H,ESP,JHS,170.21,NA
20,T1F1,Mspi,Jussie,H,ESP,JHS,158.33,NA
28,T3F3,Mspi,Jussie,H,ESP,JHS,NA,NA
28,T1F1,Mspi,Jussie,H,ESP,JHS,NA,NA
28,T1F2,Mspi,Jussie,H,ESP,JHS,245.28,NA
28,T3F2,Mspi,Jussie,H,ESP,JHS,227.27,NA
28,T3F1,Mspi,Jussie,H,ESP,JHS,221.52,NA
28,T2F1,Mspi,Jussie,H,ESP,JHS,216.22,NA
28,T2F3,Mspi,Jussie,H,ESP,JHS,175.00,NA
28,T2F2,Mspi,Jussie,H,ESP,JHS,171.43,NA
28,T1F3,Mspi,Jussie,H,ESP,JHS,153.15,NA
42,T3F1,Mspi,Jussie,H,ESP,JHS,NA,NA
42,T3F2,Mspi,Jussie,H,ESP,JHS,NA,NA
42,T3F3,Mspi,Jussie,H,ESP,JHS,NA,NA
42,T1F3,Mspi,Jussie,H,ESP,JHS,733.33,NA
42,T1F2,Mspi,Jussie,H,ESP,JHS,338.46,NA
42,T1F1,Mspi,Jussie,H,ESP,JHS,273.97,NA
42,T2F1,Mspi,Jussie,H,ESP,JHS,184.78,NA
42,T2F3,Mspi,Jussie,H,ESP,JHS,165.29,NA
42,T2F2,Mspi,Jussie,H,ESP,JHS,150.94,NA
53,T1F1,Mspi,Jussie,H,ESP,JHS,NA,NA
53,T1F3,Mspi,Jussie,H,ESP,JHS,379.31,NA
53,T2F1,Mspi,Jussie,H,ESP,JHS,261.90,NA
53,T1F2,Mspi,Jussie,H,ESP,JHS,203.70,NA
53,T2F2,Mspi,Jussie,H,ESP,JHS,186.36,NA
53,T2F3,Mspi,Jussie,H,ESP,JHS,155.56,NA
53,T3F1,Mspi,Jussie,H,ESP,JHS,104.48,NA
53,T3F3,Mspi,Jussie,H,ESP,JHS,67.80,NA
53,T3F2,Mspi,Jussie,H,ESP,JHS,66.67,NA
59,T3F3,Mspi,Jussie,H,ESP,JHS,NA,NA
59,T1F2,Mspi,Jussie,H,ESP,JHS,179.49,NA
59,T1F3,Mspi,Jussie,H,ESP,JHS,176.47,NA
59,T3F2,Mspi,Jussie,H,ESP,JHS,155.17,NA
59,T2F2,Mspi,Jussie,H,ESP,JHS,150.00,NA
59,T1F1,Mspi,Jussie,H,ESP,JHS,118.64,NA
59,T3F1,Mspi,Jussie,H,ESP,JHS,86.96,NA
59,T2F3,Mspi,Jussie,H,ESP,JHS,52.63,NA
59,T2F1,Mspi,Jussie,H,ESP,JHS,41.67,NA
70,T3F1,Mspi,Jussie,H,ESP,JHS,NA,NA
70,T3F2,Mspi,Jussie,H,ESP,JHS,NA,NA
70,T3F3,Mspi,Jussie,H,ESP,JHS,NA,NA
70,T1F1,Mspi,Jussie,H,ESP,JHS,142.86,NA
70,T1F2,Mspi,Jussie,H,ESP,JHS,118.28,NA
70,T2F2,Mspi,Jussie,H,ESP,JHS,90.91,NA
70,T1F3,Mspi,Jussie,H,ESP,JHS,76.92,NA
70,T2F1,Mspi,Jussie,H,ESP,JHS,75.47,NA
